"","max_ord","max_r","algorithm"
"1",475,"2n","B"
"2",926,"2n","B"
"3",475,"2n","B"
"4",584,"2n","B"
"5",475,"2n","B"
"6",342,"2n","B"
"7",475,"2n","B"
"8",584,"2n","B"
"9",475,"2n","B"
"10",475,"2n","B"
"11",817,"2n","B"
"12",475,"2n","B"
"13",475,"2n","B"
"14",475,"2n","B"
"15",584,"2n","B"
"16",880,"2n","B"
"17",993,"2n","B"
"18",622,"2n","B"
"19",489,"2n","B"
"20",622,"2n","B"
"21",970,"2n","B"
"22",961,"2n","B"
"23",909,"2n","B"
"24",961,"2n","B"
"25",808,"2n","B"
"26",808,"2n","B"
"27",990,"2n","B"
"28",489,"2n","B"
"29",945,"2n","B"
"30",489,"2n","B"
"31",690,"2n","B"
"32",527,"2n","B"
"33",527,"2n","B"
"34",527,"2n","B"
"35",527,"2n","B"
"36",438,"2n","B"
"37",527,"2n","B"
"38",527,"2n","B"
"39",527,"2n","B"
"40",913,"2n","B"
"41",527,"2n","B"
"42",527,"2n","B"
"43",527,"2n","B"
"44",527,"2n","B"
"45",527,"2n","B"
"46",527,"2n","B"
"47",527,"2n","B"
"48",938,"2n","B"
"49",551,"2n","B"
"50",551,"2n","B"
"51",551,"2n","B"
"52",551,"2n","B"
"53",551,"2n","B"
"54",551,"2n","B"
"55",551,"2n","B"
"56",551,"2n","B"
"57",551,"2n","B"
"58",551,"2n","B"
"59",982,"2n","B"
"60",551,"2n","B"
"61",551,"2n","B"
"62",551,"2n","B"
"63",551,"2n","B"
"64",551,"2n","B"
"65",551,"2n","B"
"66",869,"2n","B"
"67",869,"2n","B"
"68",497,"2n","B"
"69",497,"2n","B"
"70",497,"2n","B"
"71",497,"2n","B"
"72",497,"2n","B"
"73",372,"2n","B"
"74",984,"2n","B"
"75",497,"2n","B"
"76",497,"2n","B"
"77",497,"2n","B"
"78",497,"2n","B"
"79",497,"2n","B"
"80",372,"2n","B"
"81",497,"2n","B"
"82",945,"2n","B"
"83",973,"2n","B"
"84",973,"2n","B"
"85",973,"2n","B"
"86",881,"2n","B"
"87",733,"2n","B"
"88",733,"2n","B"
"89",733,"2n","B"
"90",973,"2n","B"
"91",881,"2n","B"
"92",733,"2n","B"
"93",973,"2n","B"
"94",973,"2n","B"
"95",824,"2n","B"
"96",824,"2n","B"
"97",733,"2n","B"
"98",973,"2n","B"
"99",732,"2n","B"
"100",615,"2n","Q"
"101",297,"2n","Q"
"102",334,"2n","Q"
"103",336,"2n","Q"
"104",288,"2n","Q"
"105",246,"2n","Q"
"106",191,"2n","Q"
"107",248,"2n","Q"
"108",240,"2n","Q"
"109",193,"2n","Q"
"110",231,"2n","Q"
"111",406,"2n","Q"
"112",271,"2n","Q"
"113",270,"2n","Q"
"114",450,"2n","Q"
"115",267,"2n","Q"
"116",307,"2n","Q"
"117",187,"2n","Q"
"118",212,"2n","Q"
"119",261,"2n","Q"
"120",222,"2n","Q"
"121",462,"2n","Q"
"122",225,"2n","Q"
"123",201,"2n","Q"
"124",294,"2n","Q"
"125",262,"2n","Q"
"126",291,"2n","Q"
"127",370,"2n","Q"
"128",289,"2n","Q"
"129",190,"2n","Q"
"130",198,"2n","Q"
"131",209,"2n","Q"
"132",181,"2n","Q"
"133",204,"2n","Q"
"134",287,"2n","Q"
"135",181,"2n","Q"
"136",224,"2n","Q"
"137",242,"2n","Q"
"138",200,"2n","Q"
"139",172,"2n","Q"
"140",153,"2n","Q"
"141",177,"2n","Q"
"142",197,"2n","Q"
"143",196,"2n","Q"
"144",136,"2n","Q"
"145",130,"2n","Q"
"146",239,"2n","Q"
"147",162,"2n","Q"
"148",203,"2n","Q"
"149",132,"2n","Q"
"150",149,"2n","Q"
"151",171,"2n","Q"
"152",171,"2n","Q"
"153",176,"2n","Q"
"154",203,"2n","Q"
"155",149,"2n","Q"
"156",140,"2n","Q"
"157",169,"2n","Q"
"158",182,"2n","Q"
"159",164,"2n","Q"
"160",173,"2n","Q"
"161",268,"2n","Q"
"162",153,"2n","Q"
"163",187,"2n","Q"
"164",154,"2n","Q"
"165",226,"2n","Q"
"166",207,"2n","Q"
"167",201,"2n","Q"
"168",222,"2n","Q"
"169",235,"2n","Q"
"170",207,"2n","Q"
"171",326,"2n","Q"
"172",266,"2n","Q"
"173",205,"2n","Q"
"174",201,"2n","Q"
"175",386,"2n","Q"
"176",237,"2n","Q"
"177",280,"2n","Q"
"178",296,"2n","Q"
"179",327,"2n","Q"
"180",322,"2n","Q"
"181",229,"2n","Q"
"182",330,"2n","Q"
"183",393,"2n","Q"
"184",388,"2n","Q"
"185",396,"2n","Q"
"186",373,"2n","Q"
"187",330,"2n","Q"
"188",205,"2n","Q"
"189",352,"2n","Q"
"190",336,"2n","Q"
"191",343,"2n","Q"
"192",285,"2n","Q"
"193",261,"2n","Q"
"194",188,"2n","Q"
"195",258,"2n","Q"
"196",324,"2n","Q"
"197",202,"2n","Q"
"198",162,"2n","Q"
"199",262,"2n","Q"
"200",245,"2n","M"
"201",466,"2n","M"
"202",366,"2n","M"
"203",376,"2n","M"
"204",398,"2n","M"
"205",450,"2n","M"
"206",839,"2n","M"
"207",407,"2n","M"
"208",467,"2n","M"
"209",449,"2n","M"
"210",451,"2n","M"
"211",221,"2n","M"
"212",250,"2n","M"
"213",242,"2n","M"
"214",257,"2n","M"
"215",232,"2n","M"
"216",306,"2n","M"
"217",494,"2n","M"
"218",232,"2n","M"
"219",221,"2n","M"
"220",264,"2n","M"
"221",264,"2n","M"
"222",239,"2n","M"
"223",235,"2n","M"
"224",296,"2n","M"
"225",247,"2n","M"
"226",231,"2n","M"
"227",226,"2n","M"
"228",238,"2n","M"
"229",317,"2n","M"
"230",215,"2n","M"
"231",230,"2n","M"
"232",244,"2n","M"
"233",300,"2n","M"
"234",442,"2n","M"
"235",270,"2n","M"
"236",309,"2n","M"
"237",358,"2n","M"
"238",278,"2n","M"
"239",293,"2n","M"
"240",244,"2n","M"
"241",292,"2n","M"
"242",221,"2n","M"
"243",362,"2n","M"
"244",245,"2n","M"
"245",253,"2n","M"
"246",295,"2n","M"
"247",261,"2n","M"
"248",244,"2n","M"
"249",265,"2n","M"
"250",269,"2n","M"
"251",245,"2n","M"
"252",325,"2n","M"
"253",244,"2n","M"
"254",325,"2n","M"
"255",326,"2n","M"
"256",243,"2n","M"
"257",330,"2n","M"
"258",240,"2n","M"
"259",227,"2n","M"
"260",372,"2n","M"
"261",299,"2n","M"
"262",272,"2n","M"
"263",402,"2n","M"
"264",309,"2n","M"
"265",308,"2n","M"
"266",348,"2n","M"
"267",278,"2n","M"
"268",170,"2n","M"
"269",284,"2n","M"
"270",319,"2n","M"
"271",297,"2n","M"
"272",319,"2n","M"
"273",304,"2n","M"
"274",273,"2n","M"
"275",232,"2n","M"
"276",182,"2n","M"
"277",162,"2n","M"
"278",200,"2n","M"
"279",170,"2n","M"
"280",200,"2n","M"
"281",141,"2n","M"
"282",176,"2n","M"
"283",249,"2n","M"
"284",330,"2n","M"
"285",356,"2n","M"
"286",254,"2n","M"
"287",199,"2n","M"
"288",364,"2n","M"
"289",184,"2n","M"
"290",360,"2n","M"
"291",211,"2n","M"
"292",331,"2n","M"
"293",224,"2n","M"
"294",183,"2n","M"
"295",231,"2n","M"
"296",217,"2n","M"
"297",293,"2n","M"
"298",246,"2n","M"
"299",183,"2n","M"
"300",306,"2n","I"
"301",64,"2n","I"
"302",85,"2n","I"
"303",64,"2n","I"
"304",55,"2n","I"
"305",54,"2n","I"
"306",95,"2n","I"
"307",50,"2n","I"
"308",69,"2n","I"
"309",86,"2n","I"
"310",78,"2n","I"
"311",69,"2n","I"
"312",69,"2n","I"
"313",57,"2n","I"
"314",63,"2n","I"
"315",84,"2n","I"
"316",76,"2n","I"
"317",79,"2n","I"
"318",69,"2n","I"
"319",64,"2n","I"
"320",68,"2n","I"
"321",55,"2n","I"
"322",70,"2n","I"
"323",80,"2n","I"
"324",75,"2n","I"
"325",80,"2n","I"
"326",84,"2n","I"
"327",63,"2n","I"
"328",60,"2n","I"
"329",83,"2n","I"
"330",60,"2n","I"
"331",84,"2n","I"
"332",58,"2n","I"
"333",51,"2n","I"
"334",87,"2n","I"
"335",78,"2n","I"
"336",57,"2n","I"
"337",93,"2n","I"
"338",70,"2n","I"
"339",73,"2n","I"
"340",60,"2n","I"
"341",58,"2n","I"
"342",57,"2n","I"
"343",53,"2n","I"
"344",50,"2n","I"
"345",73,"2n","I"
"346",86,"2n","I"
"347",79,"2n","I"
"348",61,"2n","I"
"349",63,"2n","I"
"350",103,"2n","I"
"351",74,"2n","I"
"352",86,"2n","I"
"353",81,"2n","I"
"354",67,"2n","I"
"355",62,"2n","I"
"356",50,"2n","I"
"357",64,"2n","I"
"358",60,"2n","I"
"359",47,"2n","I"
"360",85,"2n","I"
"361",73,"2n","I"
"362",64,"2n","I"
"363",71,"2n","I"
"364",91,"2n","I"
"365",86,"2n","I"
"366",70,"2n","I"
"367",65,"2n","I"
"368",72,"2n","I"
"369",61,"2n","I"
"370",63,"2n","I"
"371",70,"2n","I"
"372",54,"2n","I"
"373",75,"2n","I"
"374",52,"2n","I"
"375",106,"2n","I"
"376",67,"2n","I"
"377",64,"2n","I"
"378",66,"2n","I"
"379",86,"2n","I"
"380",50,"2n","I"
"381",56,"2n","I"
"382",63,"2n","I"
"383",65,"2n","I"
"384",49,"2n","I"
"385",74,"2n","I"
"386",61,"2n","I"
"387",60,"2n","I"
"388",74,"2n","I"
"389",61,"2n","I"
"390",84,"2n","I"
"391",79,"2n","I"
"392",66,"2n","I"
"393",75,"2n","I"
"394",57,"2n","I"
"395",64,"2n","I"
"396",80,"2n","I"
"397",73,"2n","I"
"398",58,"2n","I"
"399",62,"2n","I"
"400",66,"2n","I"
"401",567,"n","B"
"402",567,"n","B"
"403",567,"n","B"
"404",567,"n","B"
"405",567,"n","B"
"406",567,"n","B"
"407",567,"n","B"
"408",567,"n","B"
"409",567,"n","B"
"410",567,"n","B"
"411",567,"n","B"
"412",567,"n","B"
"413",852,"n","B"
"414",991,"n","B"
"415",852,"n","B"
"416",852,"n","B"
"417",567,"n","B"
"418",985,"n","B"
"419",465,"n","B"
"420",842,"n","B"
"421",985,"n","B"
"422",715,"n","B"
"423",985,"n","B"
"424",842,"n","B"
"425",715,"n","B"
"426",715,"n","B"
"427",715,"n","B"
"428",715,"n","B"
"429",715,"n","B"
"430",842,"n","B"
"431",715,"n","B"
"432",842,"n","B"
"433",715,"n","B"
"434",510,"n","B"
"435",338,"n","B"
"436",1000,"n","B"
"437",370,"n","B"
"438",254,"n","B"
"439",380,"n","B"
"440",504,"n","B"
"441",254,"n","B"
"442",380,"n","B"
"443",254,"n","B"
"444",370,"n","B"
"445",370,"n","B"
"446",370,"n","B"
"447",359,"n","B"
"448",254,"n","B"
"449",254,"n","B"
"450",496,"n","B"
"451",380,"n","B"
"452",254,"n","B"
"453",370,"n","B"
"454",380,"n","B"
"455",254,"n","B"
"456",449,"n","B"
"457",449,"n","B"
"458",449,"n","B"
"459",475,"n","B"
"460",459,"n","B"
"461",422,"n","B"
"462",512,"n","B"
"463",512,"n","B"
"464",449,"n","B"
"465",449,"n","B"
"466",485,"n","B"
"467",476,"n","B"
"468",449,"n","B"
"469",512,"n","B"
"470",449,"n","B"
"471",449,"n","B"
"472",512,"n","B"
"473",512,"n","B"
"474",488,"n","B"
"475",935,"n","B"
"476",447,"n","B"
"477",976,"n","B"
"478",447,"n","B"
"479",447,"n","B"
"480",447,"n","B"
"481",551,"n","B"
"482",551,"n","B"
"483",553,"n","B"
"484",935,"n","B"
"485",447,"n","B"
"486",544,"n","B"
"487",935,"n","B"
"488",518,"n","B"
"489",998,"n","B"
"490",447,"n","B"
"491",529,"n","B"
"492",447,"n","B"
"493",390,"n","B"
"494",899,"n","B"
"495",424,"n","B"
"496",964,"n","B"
"497",390,"n","B"
"498",632,"n","B"
"499",814,"n","B"
"500",390,"n","Q"
"501",248,"n","Q"
"502",317,"n","Q"
"503",270,"n","Q"
"504",260,"n","Q"
"505",213,"n","Q"
"506",261,"n","Q"
"507",392,"n","Q"
"508",238,"n","Q"
"509",268,"n","Q"
"510",476,"n","Q"
"511",186,"n","Q"
"512",293,"n","Q"
"513",227,"n","Q"
"514",271,"n","Q"
"515",189,"n","Q"
"516",388,"n","Q"
"517",830,"n","Q"
"518",558,"n","Q"
"519",422,"n","Q"
"520",299,"n","Q"
"521",531,"n","Q"
"522",497,"n","Q"
"523",341,"n","Q"
"524",446,"n","Q"
"525",562,"n","Q"
"526",415,"n","Q"
"527",382,"n","Q"
"528",440,"n","Q"
"529",593,"n","Q"
"530",359,"n","Q"
"531",559,"n","Q"
"532",328,"n","Q"
"533",354,"n","Q"
"534",677,"n","Q"
"535",474,"n","Q"
"536",506,"n","Q"
"537",314,"n","Q"
"538",595,"n","Q"
"539",289,"n","Q"
"540",191,"n","Q"
"541",286,"n","Q"
"542",207,"n","Q"
"543",230,"n","Q"
"544",187,"n","Q"
"545",268,"n","Q"
"546",195,"n","Q"
"547",217,"n","Q"
"548",295,"n","Q"
"549",215,"n","Q"
"550",286,"n","Q"
"551",232,"n","Q"
"552",276,"n","Q"
"553",250,"n","Q"
"554",214,"n","Q"
"555",221,"n","Q"
"556",285,"n","Q"
"557",230,"n","Q"
"558",253,"n","Q"
"559",266,"n","Q"
"560",270,"n","Q"
"561",485,"n","Q"
"562",439,"n","Q"
"563",400,"n","Q"
"564",350,"n","Q"
"565",251,"n","Q"
"566",332,"n","Q"
"567",313,"n","Q"
"568",439,"n","Q"
"569",240,"n","Q"
"570",218,"n","Q"
"571",285,"n","Q"
"572",336,"n","Q"
"573",270,"n","Q"
"574",207,"n","Q"
"575",224,"n","Q"
"576",263,"n","Q"
"577",334,"n","Q"
"578",268,"n","Q"
"579",414,"n","Q"
"580",235,"n","Q"
"581",275,"n","Q"
"582",243,"n","Q"
"583",228,"n","Q"
"584",230,"n","Q"
"585",499,"n","Q"
"586",349,"n","Q"
"587",259,"n","Q"
"588",336,"n","Q"
"589",271,"n","Q"
"590",183,"n","Q"
"591",321,"n","Q"
"592",385,"n","Q"
"593",319,"n","Q"
"594",208,"n","Q"
"595",303,"n","Q"
"596",244,"n","Q"
"597",298,"n","Q"
"598",382,"n","Q"
"599",422,"n","Q"
"600",381,"n","M"
"601",190,"n","M"
"602",175,"n","M"
"603",214,"n","M"
"604",209,"n","M"
"605",192,"n","M"
"606",210,"n","M"
"607",227,"n","M"
"608",231,"n","M"
"609",184,"n","M"
"610",213,"n","M"
"611",215,"n","M"
"612",175,"n","M"
"613",253,"n","M"
"614",279,"n","M"
"615",238,"n","M"
"616",179,"n","M"
"617",209,"n","M"
"618",235,"n","M"
"619",289,"n","M"
"620",187,"n","M"
"621",407,"n","M"
"622",207,"n","M"
"623",304,"n","M"
"624",192,"n","M"
"625",278,"n","M"
"626",290,"n","M"
"627",251,"n","M"
"628",304,"n","M"
"629",268,"n","M"
"630",340,"n","M"
"631",239,"n","M"
"632",189,"n","M"
"633",525,"n","M"
"634",312,"n","M"
"635",227,"n","M"
"636",308,"n","M"
"637",262,"n","M"
"638",330,"n","M"
"639",285,"n","M"
"640",262,"n","M"
"641",327,"n","M"
"642",350,"n","M"
"643",288,"n","M"
"644",345,"n","M"
"645",304,"n","M"
"646",265,"n","M"
"647",285,"n","M"
"648",308,"n","M"
"649",272,"n","M"
"650",322,"n","M"
"651",352,"n","M"
"652",308,"n","M"
"653",515,"n","M"
"654",449,"n","M"
"655",517,"n","M"
"656",370,"n","M"
"657",343,"n","M"
"658",492,"n","M"
"659",222,"n","M"
"660",334,"n","M"
"661",368,"n","M"
"662",441,"n","M"
"663",383,"n","M"
"664",358,"n","M"
"665",223,"n","M"
"666",283,"n","M"
"667",442,"n","M"
"668",522,"n","M"
"669",577,"n","M"
"670",424,"n","M"
"671",419,"n","M"
"672",288,"n","M"
"673",335,"n","M"
"674",452,"n","M"
"675",254,"n","M"
"676",213,"n","M"
"677",184,"n","M"
"678",226,"n","M"
"679",218,"n","M"
"680",278,"n","M"
"681",205,"n","M"
"682",279,"n","M"
"683",298,"n","M"
"684",314,"n","M"
"685",254,"n","M"
"686",192,"n","M"
"687",211,"n","M"
"688",184,"n","M"
"689",313,"n","M"
"690",158,"n","M"
"691",226,"n","M"
"692",161,"n","M"
"693",187,"n","M"
"694",248,"n","M"
"695",328,"n","M"
"696",223,"n","M"
"697",201,"n","M"
"698",254,"n","M"
"699",219,"n","M"
"700",178,"n","I"
"701",53,"n","I"
"702",49,"n","I"
"703",78,"n","I"
"704",57,"n","I"
"705",51,"n","I"
"706",53,"n","I"
"707",72,"n","I"
"708",90,"n","I"
"709",54,"n","I"
"710",82,"n","I"
"711",69,"n","I"
"712",49,"n","I"
"713",47,"n","I"
"714",56,"n","I"
"715",60,"n","I"
"716",69,"n","I"
"717",62,"n","I"
"718",70,"n","I"
"719",49,"n","I"
"720",44,"n","I"
"721",76,"n","I"
"722",83,"n","I"
"723",68,"n","I"
"724",78,"n","I"
"725",75,"n","I"
"726",64,"n","I"
"727",63,"n","I"
"728",64,"n","I"
"729",65,"n","I"
"730",75,"n","I"
"731",90,"n","I"
"732",78,"n","I"
"733",75,"n","I"
"734",61,"n","I"
"735",74,"n","I"
"736",100,"n","I"
"737",59,"n","I"
"738",88,"n","I"
"739",71,"n","I"
"740",133,"n","I"
"741",93,"n","I"
"742",66,"n","I"
"743",85,"n","I"
"744",56,"n","I"
"745",58,"n","I"
"746",51,"n","I"
"747",68,"n","I"
"748",64,"n","I"
"749",59,"n","I"
"750",47,"n","I"
"751",67,"n","I"
"752",54,"n","I"
"753",62,"n","I"
"754",66,"n","I"
"755",74,"n","I"
"756",68,"n","I"
"757",60,"n","I"
"758",62,"n","I"
"759",47,"n","I"
"760",72,"n","I"
"761",64,"n","I"
"762",58,"n","I"
"763",74,"n","I"
"764",79,"n","I"
"765",99,"n","I"
"766",62,"n","I"
"767",55,"n","I"
"768",96,"n","I"
"769",69,"n","I"
"770",59,"n","I"
"771",58,"n","I"
"772",71,"n","I"
"773",79,"n","I"
"774",61,"n","I"
"775",64,"n","I"
"776",90,"n","I"
"777",105,"n","I"
"778",63,"n","I"
"779",77,"n","I"
"780",95,"n","I"
"781",59,"n","I"
"782",63,"n","I"
"783",66,"n","I"
"784",61,"n","I"
"785",87,"n","I"
"786",83,"n","I"
"787",45,"n","I"
"788",69,"n","I"
"789",73,"n","I"
"790",63,"n","I"
"791",78,"n","I"
"792",44,"n","I"
"793",59,"n","I"
"794",65,"n","I"
"795",73,"n","I"
"796",91,"n","I"
"797",70,"n","I"
"798",60,"n","I"
"799",55,"n","I"
"800",72,"n","I"
"801",962,"n/2","B"
"802",962,"n/2","B"
"803",988,"n/2","B"
"804",763,"n/2","B"
"805",481,"n/2","B"
"806",481,"n/2","B"
"807",481,"n/2","B"
"808",481,"n/2","B"
"809",763,"n/2","B"
"810",763,"n/2","B"
"811",860,"n/2","B"
"812",763,"n/2","B"
"813",481,"n/2","B"
"814",481,"n/2","B"
"815",481,"n/2","B"
"816",763,"n/2","B"
"817",988,"n/2","B"
"818",860,"n/2","B"
"819",481,"n/2","B"
"820",860,"n/2","B"
"821",481,"n/2","B"
"822",768,"n/2","B"
"823",978,"n/2","B"
"824",921,"n/2","B"
"825",978,"n/2","B"
"826",998,"n/2","B"
"827",921,"n/2","B"
"828",768,"n/2","B"
"829",978,"n/2","B"
"830",1000,"n/2","B"
"831",613,"n/2","B"
"832",978,"n/2","B"
"833",857,"n/2","B"
"834",998,"n/2","B"
"835",768,"n/2","B"
"836",768,"n/2","B"
"837",457,"n/2","B"
"838",921,"n/2","B"
"839",702,"n/2","B"
"840",921,"n/2","B"
"841",842,"n/2","B"
"842",586,"n/2","B"
"843",586,"n/2","B"
"844",842,"n/2","B"
"845",842,"n/2","B"
"846",586,"n/2","B"
"847",842,"n/2","B"
