"","max_ord","max_r","algorithm"
"848",586,"n/2","B"
"849",586,"n/2","B"
"850",976,"n/2","B"
"851",976,"n/2","B"
"852",586,"n/2","B"
"853",586,"n/2","B"
"854",586,"n/2","B"
"855",586,"n/2","B"
"856",842,"n/2","B"
"857",976,"n/2","B"
"858",976,"n/2","B"
"859",586,"n/2","B"
"860",710,"n/2","B"
"861",710,"n/2","B"
"862",710,"n/2","B"
"863",710,"n/2","B"
"864",710,"n/2","B"
"865",710,"n/2","B"
"866",710,"n/2","B"
"867",710,"n/2","B"
"868",710,"n/2","B"
"869",710,"n/2","B"
"870",710,"n/2","B"
"871",710,"n/2","B"
"872",710,"n/2","B"
"873",710,"n/2","B"
"874",710,"n/2","B"
"875",710,"n/2","B"
"876",710,"n/2","B"
"877",901,"n/2","B"
"878",999,"n/2","B"
"879",756,"n/2","B"
"880",445,"n/2","B"
"881",756,"n/2","B"
"882",756,"n/2","B"
"883",445,"n/2","B"
"884",445,"n/2","B"
"885",756,"n/2","B"
"886",445,"n/2","B"
"887",756,"n/2","B"
"888",445,"n/2","B"
"889",587,"n/2","B"
"890",445,"n/2","B"
"891",445,"n/2","B"
"892",445,"n/2","B"
"893",445,"n/2","B"
"894",445,"n/2","B"
"895",445,"n/2","B"
"896",445,"n/2","B"
"897",756,"n/2","B"
"898",547,"n/2","B"
"899",547,"n/2","B"
"900",901,"n/2","Q"
"901",412,"n/2","Q"
"902",529,"n/2","Q"
"903",364,"n/2","Q"
"904",224,"n/2","Q"
"905",264,"n/2","Q"
"906",330,"n/2","Q"
"907",305,"n/2","Q"
"908",543,"n/2","Q"
"909",523,"n/2","Q"
"910",468,"n/2","Q"
"911",464,"n/2","Q"
"912",772,"n/2","Q"
"913",381,"n/2","Q"
"914",593,"n/2","Q"
"915",299,"n/2","Q"
"916",407,"n/2","Q"
"917",359,"n/2","Q"
"918",265,"n/2","Q"
"919",422,"n/2","Q"
"920",438,"n/2","Q"
"921",402,"n/2","Q"
"922",416,"n/2","Q"
"923",426,"n/2","Q"
"924",385,"n/2","Q"
"925",296,"n/2","Q"
"926",421,"n/2","Q"
"927",404,"n/2","Q"
"928",347,"n/2","Q"
"929",368,"n/2","Q"
"930",338,"n/2","Q"
"931",270,"n/2","Q"
"932",207,"n/2","Q"
"933",377,"n/2","Q"
"934",170,"n/2","Q"
"935",290,"n/2","Q"
"936",232,"n/2","Q"
"937",432,"n/2","Q"
"938",313,"n/2","Q"
"939",194,"n/2","Q"
"940",359,"n/2","Q"
"941",287,"n/2","Q"
"942",242,"n/2","Q"
"943",359,"n/2","Q"
"944",277,"n/2","Q"
"945",273,"n/2","Q"
"946",218,"n/2","Q"
"947",216,"n/2","Q"
"948",395,"n/2","Q"
"949",310,"n/2","Q"
"950",170,"n/2","Q"
"951",312,"n/2","Q"
"952",331,"n/2","Q"
"953",354,"n/2","Q"
"954",227,"n/2","Q"
"955",331,"n/2","Q"
"956",345,"n/2","Q"
"957",346,"n/2","Q"
"958",219,"n/2","Q"
"959",287,"n/2","Q"
"960",455,"n/2","Q"
"961",301,"n/2","Q"
"962",258,"n/2","Q"
"963",364,"n/2","Q"
"964",351,"n/2","Q"
"965",423,"n/2","Q"
"966",171,"n/2","Q"
"967",214,"n/2","Q"
"968",289,"n/2","Q"
"969",241,"n/2","Q"
"970",289,"n/2","Q"
"971",260,"n/2","Q"
"972",231,"n/2","Q"
"973",233,"n/2","Q"
"974",340,"n/2","Q"
"975",294,"n/2","Q"
"976",229,"n/2","Q"
"977",398,"n/2","Q"
"978",457,"n/2","Q"
"979",474,"n/2","Q"
"980",387,"n/2","Q"
"981",330,"n/2","Q"
"982",426,"n/2","Q"
"983",375,"n/2","Q"
"984",258,"n/2","Q"
"985",584,"n/2","Q"
"986",294,"n/2","Q"
"987",459,"n/2","Q"
"988",369,"n/2","Q"
"989",477,"n/2","Q"
"990",552,"n/2","Q"
"991",483,"n/2","Q"
"992",447,"n/2","Q"
"993",727,"n/2","Q"
"994",306,"n/2","Q"
"995",401,"n/2","Q"
"996",323,"n/2","Q"
"997",443,"n/2","Q"
"998",384,"n/2","Q"
"999",231,"n/2","Q"
"1000",221,"n/2","M"
"1001",653,"n/2","M"
"1002",1000,"n/2","M"
"1003",653,"n/2","M"
"1004",786,"n/2","M"
"1005",699,"n/2","M"
"1006",1000,"n/2","M"
"1007",752,"n/2","M"
"1008",632,"n/2","M"
"1009",538,"n/2","M"
"1010",756,"n/2","M"
"1011",754,"n/2","M"
"1012",1000,"n/2","M"
"1013",1000,"n/2","M"
"1014",738,"n/2","M"
"1015",773,"n/2","M"
"1016",753,"n/2","M"
"1017",798,"n/2","M"
"1018",385,"n/2","M"
"1019",340,"n/2","M"
"1020",393,"n/2","M"
"1021",363,"n/2","M"
"1022",396,"n/2","M"
"1023",331,"n/2","M"
"1024",368,"n/2","M"
"1025",320,"n/2","M"
"1026",431,"n/2","M"
"1027",337,"n/2","M"
"1028",600,"n/2","M"
"1029",370,"n/2","M"
"1030",352,"n/2","M"
"1031",375,"n/2","M"
"1032",384,"n/2","M"
"1033",333,"n/2","M"
"1034",314,"n/2","M"
"1035",386,"n/2","M"
"1036",277,"n/2","M"
"1037",358,"n/2","M"
"1038",354,"n/2","M"
"1039",317,"n/2","M"
"1040",306,"n/2","M"
"1041",281,"n/2","M"
"1042",346,"n/2","M"
"1043",372,"n/2","M"
"1044",227,"n/2","M"
"1045",280,"n/2","M"
"1046",360,"n/2","M"
"1047",223,"n/2","M"
"1048",305,"n/2","M"
"1049",248,"n/2","M"
"1050",264,"n/2","M"
"1051",238,"n/2","M"
"1052",264,"n/2","M"
"1053",258,"n/2","M"
"1054",242,"n/2","M"
"1055",272,"n/2","M"
"1056",273,"n/2","M"
"1057",265,"n/2","M"
"1058",298,"n/2","M"
"1059",241,"n/2","M"
"1060",274,"n/2","M"
"1061",248,"n/2","M"
"1062",261,"n/2","M"
"1063",252,"n/2","M"
"1064",331,"n/2","M"
"1065",296,"n/2","M"
"1066",254,"n/2","M"
"1067",286,"n/2","M"
"1068",249,"n/2","M"
"1069",287,"n/2","M"
"1070",250,"n/2","M"
"1071",404,"n/2","M"
"1072",446,"n/2","M"
"1073",452,"n/2","M"
"1074",346,"n/2","M"
"1075",296,"n/2","M"
"1076",311,"n/2","M"
"1077",381,"n/2","M"
"1078",315,"n/2","M"
"1079",262,"n/2","M"
"1080",292,"n/2","M"
"1081",287,"n/2","M"
"1082",256,"n/2","M"
"1083",253,"n/2","M"
"1084",323,"n/2","M"
"1085",400,"n/2","M"
"1086",230,"n/2","M"
"1087",379,"n/2","M"
"1088",462,"n/2","M"
"1089",348,"n/2","M"
"1090",338,"n/2","M"
"1091",211,"n/2","M"
"1092",246,"n/2","M"
"1093",284,"n/2","M"
"1094",267,"n/2","M"
"1095",226,"n/2","M"
"1096",267,"n/2","M"
"1097",346,"n/2","M"
"1098",249,"n/2","M"
"1099",324,"n/2","M"
"1100",411,"n/2","I"
"1101",113,"n/2","I"
"1102",80,"n/2","I"
"1103",65,"n/2","I"
"1104",61,"n/2","I"
"1105",95,"n/2","I"
"1106",101,"n/2","I"
"1107",110,"n/2","I"
"1108",60,"n/2","I"
"1109",67,"n/2","I"
"1110",60,"n/2","I"
"1111",66,"n/2","I"
"1112",88,"n/2","I"
"1113",63,"n/2","I"
"1114",48,"n/2","I"
"1115",111,"n/2","I"
"1116",68,"n/2","I"
"1117",65,"n/2","I"
"1118",63,"n/2","I"
"1119",65,"n/2","I"
"1120",106,"n/2","I"
"1121",53,"n/2","I"
"1122",92,"n/2","I"
"1123",67,"n/2","I"
"1124",78,"n/2","I"
"1125",52,"n/2","I"
"1126",46,"n/2","I"
"1127",91,"n/2","I"
"1128",75,"n/2","I"
"1129",79,"n/2","I"
"1130",78,"n/2","I"
"1131",81,"n/2","I"
"1132",70,"n/2","I"
"1133",70,"n/2","I"
"1134",89,"n/2","I"
"1135",72,"n/2","I"
"1136",95,"n/2","I"
"1137",62,"n/2","I"
"1138",78,"n/2","I"
"1139",63,"n/2","I"
"1140",85,"n/2","I"
"1141",136,"n/2","I"
"1142",85,"n/2","I"
"1143",72,"n/2","I"
"1144",87,"n/2","I"
"1145",86,"n/2","I"
"1146",109,"n/2","I"
"1147",56,"n/2","I"
"1148",91,"n/2","I"
"1149",117,"n/2","I"
"1150",100,"n/2","I"
"1151",59,"n/2","I"
"1152",99,"n/2","I"
"1153",49,"n/2","I"
"1154",112,"n/2","I"
"1155",123,"n/2","I"
"1156",78,"n/2","I"
"1157",112,"n/2","I"
"1158",92,"n/2","I"
"1159",65,"n/2","I"
"1160",89,"n/2","I"
"1161",57,"n/2","I"
"1162",85,"n/2","I"
"1163",102,"n/2","I"
"1164",81,"n/2","I"
"1165",75,"n/2","I"
"1166",71,"n/2","I"
"1167",57,"n/2","I"
"1168",91,"n/2","I"
"1169",63,"n/2","I"
"1170",96,"n/2","I"
"1171",89,"n/2","I"
"1172",82,"n/2","I"
"1173",88,"n/2","I"
"1174",74,"n/2","I"
"1175",66,"n/2","I"
"1176",64,"n/2","I"
"1177",56,"n/2","I"
"1178",85,"n/2","I"
"1179",115,"n/2","I"
"1180",71,"n/2","I"
"1181",52,"n/2","I"
"1182",82,"n/2","I"
"1183",45,"n/2","I"
"1184",92,"n/2","I"
"1185",123,"n/2","I"
"1186",66,"n/2","I"
"1187",54,"n/2","I"
"1188",51,"n/2","I"
"1189",79,"n/2","I"
"1190",83,"n/2","I"
"1191",66,"n/2","I"
"1192",74,"n/2","I"
"1193",90,"n/2","I"
"1194",71,"n/2","I"
"1195",80,"n/2","I"
"1196",68,"n/2","I"
"1197",65,"n/2","I"
"1198",56,"n/2","I"
"1199",75,"n/2","I"
"1200",59,"n/2","I"
"1201",926,"n/4","B"
"1202",926,"n/4","B"
"1203",926,"n/4","B"
"1204",806,"n/4","B"
"1205",926,"n/4","B"
"1206",825,"n/4","B"
"1207",926,"n/4","B"
"1208",825,"n/4","B"
"1209",825,"n/4","B"
"1210",907,"n/4","B"
"1211",825,"n/4","B"
"1212",926,"n/4","B"
"1213",825,"n/4","B"
"1214",926,"n/4","B"
"1215",782,"n/4","B"
"1216",926,"n/4","B"
"1217",926,"n/4","B"
"1218",999,"n/4","B"
"1219",1000,"n/4","B"
"1220",999,"n/4","B"
"1221",999,"n/4","B"
"1222",1000,"n/4","B"
"1223",999,"n/4","B"
"1224",918,"n/4","B"
"1225",999,"n/4","B"
"1226",985,"n/4","B"
"1227",999,"n/4","B"
"1228",918,"n/4","B"
"1229",999,"n/4","B"
"1230",959,"n/4","B"
"1231",999,"n/4","B"
"1232",999,"n/4","B"
"1233",1000,"n/4","B"
"1234",999,"n/4","B"
"1235",999,"n/4","B"
"1236",999,"n/4","B"
"1237",459,"n/4","B"
"1238",459,"n/4","B"
"1239",459,"n/4","B"
"1240",459,"n/4","B"
"1241",459,"n/4","B"
"1242",459,"n/4","B"
"1243",459,"n/4","B"
"1244",459,"n/4","B"
"1245",459,"n/4","B"
"1246",459,"n/4","B"
"1247",459,"n/4","B"
"1248",459,"n/4","B"
"1249",459,"n/4","B"
"1250",459,"n/4","B"
"1251",459,"n/4","B"
"1252",459,"n/4","B"
"1253",825,"n/4","B"
"1254",459,"n/4","B"
"1255",459,"n/4","B"
"1256",453,"n/4","B"
"1257",586,"n/4","B"
"1258",453,"n/4","B"
"1259",540,"n/4","B"
"1260",586,"n/4","B"
"1261",461,"n/4","B"
"1262",453,"n/4","B"
"1263",993,"n/4","B"
"1264",860,"n/4","B"
"1265",540,"n/4","B"
"1266",453,"n/4","B"
"1267",453,"n/4","B"
"1268",453,"n/4","B"
"1269",540,"n/4","B"
"1270",540,"n/4","B"
"1271",461,"n/4","B"
"1272",594,"n/4","B"
"1273",453,"n/4","B"
"1274",843,"n/4","B"
"1275",484,"n/4","B"
"1276",843,"n/4","B"
"1277",720,"n/4","B"
"1278",720,"n/4","B"
"1279",720,"n/4","B"
"1280",564,"n/4","B"
"1281",883,"n/4","B"
"1282",843,"n/4","B"
"1283",687,"n/4","B"
"1284",843,"n/4","B"
"1285",844,"n/4","B"
"1286",763,"n/4","B"
"1287",720,"n/4","B"
"1288",720,"n/4","B"
"1289",763,"n/4","B"
"1290",843,"n/4","B"
"1291",763,"n/4","B"
"1292",843,"n/4","B"
"1293",827,"n/4","B"
"1294",827,"n/4","B"
"1295",999,"n/4","B"
"1296",827,"n/4","B"
"1297",827,"n/4","B"
"1298",827,"n/4","B"
"1299",827,"n/4","B"
"1300",827,"n/4","Q"
"1301",284,"n/4","Q"
"1302",220,"n/4","Q"
"1303",339,"n/4","Q"
"1304",332,"n/4","Q"
"1305",330,"n/4","Q"
"1306",219,"n/4","Q"
"1307",210,"n/4","Q"
"1308",704,"n/4","Q"
"1309",289,"n/4","Q"
"1310",259,"n/4","Q"
"1311",195,"n/4","Q"
"1312",295,"n/4","Q"
"1313",395,"n/4","Q"
"1314",203,"n/4","Q"
"1315",252,"n/4","Q"
"1316",230,"n/4","Q"
"1317",311,"n/4","Q"
"1318",351,"n/4","Q"
"1319",300,"n/4","Q"
"1320",262,"n/4","Q"
"1321",245,"n/4","Q"
"1322",271,"n/4","Q"
"1323",216,"n/4","Q"
"1324",344,"n/4","Q"
"1325",210,"n/4","Q"
"1326",278,"n/4","Q"
"1327",194,"n/4","Q"
"1328",459,"n/4","Q"
"1329",314,"n/4","Q"
"1330",459,"n/4","Q"
"1331",203,"n/4","Q"
"1332",249,"n/4","Q"
"1333",355,"n/4","Q"
"1334",194,"n/4","Q"
"1335",248,"n/4","Q"
"1336",325,"n/4","Q"
"1337",222,"n/4","Q"
"1338",344,"n/4","Q"
"1339",260,"n/4","Q"
"1340",263,"n/4","Q"
"1341",235,"n/4","Q"
"1342",272,"n/4","Q"
"1343",450,"n/4","Q"
"1344",270,"n/4","Q"
"1345",245,"n/4","Q"
"1346",283,"n/4","Q"
"1347",387,"n/4","Q"
"1348",484,"n/4","Q"
"1349",307,"n/4","Q"
"1350",253,"n/4","Q"
"1351",429,"n/4","Q"
"1352",325,"n/4","Q"
"1353",384,"n/4","Q"
"1354",360,"n/4","Q"
"1355",385,"n/4","Q"
"1356",252,"n/4","Q"
"1357",336,"n/4","Q"
"1358",246,"n/4","Q"
"1359",442,"n/4","Q"
"1360",421,"n/4","Q"
"1361",356,"n/4","Q"
"1362",404,"n/4","Q"
"1363",326,"n/4","Q"
"1364",305,"n/4","Q"
"1365",402,"n/4","Q"
"1366",239,"n/4","Q"
"1367",250,"n/4","Q"
"1368",216,"n/4","Q"
"1369",314,"n/4","Q"
"1370",242,"n/4","Q"
"1371",323,"n/4","Q"
"1372",245,"n/4","Q"
"1373",280,"n/4","Q"
"1374",226,"n/4","Q"
"1375",227,"n/4","Q"
"1376",338,"n/4","Q"
"1377",397,"n/4","Q"
"1378",293,"n/4","Q"
"1379",323,"n/4","Q"
"1380",266,"n/4","Q"
"1381",440,"n/4","Q"
"1382",250,"n/4","Q"
"1383",222,"n/4","Q"
"1384",279,"n/4","Q"
"1385",171,"n/4","Q"
"1386",187,"n/4","Q"
"1387",350,"n/4","Q"
"1388",505,"n/4","Q"
"1389",390,"n/4","Q"
"1390",522,"n/4","Q"
"1391",340,"n/4","Q"
"1392",325,"n/4","Q"
"1393",354,"n/4","Q"
"1394",319,"n/4","Q"
"1395",494,"n/4","Q"
"1396",408,"n/4","Q"
"1397",452,"n/4","Q"
"1398",286,"n/4","Q"
"1399",657,"n/4","Q"
"1400",424,"n/4","M"
"1401",590,"n/4","M"
"1402",797,"n/4","M"
"1403",563,"n/4","M"
"1404",307,"n/4","M"
"1405",370,"n/4","M"
"1406",498,"n/4","M"
"1407",472,"n/4","M"
"1408",494,"n/4","M"
"1409",492,"n/4","M"
"1410",470,"n/4","M"
"1411",621,"n/4","M"
"1412",505,"n/4","M"
"1413",513,"n/4","M"
"1414",482,"n/4","M"
"1415",463,"n/4","M"
"1416",511,"n/4","M"
"1417",421,"n/4","M"
"1418",429,"n/4","M"
"1419",630,"n/4","M"
"1420",456,"n/4","M"
"1421",498,"n/4","M"
"1422",473,"n/4","M"
"1423",321,"n/4","M"
"1424",640,"n/4","M"
"1425",482,"n/4","M"
"1426",505,"n/4","M"
"1427",451,"n/4","M"
"1428",449,"n/4","M"
"1429",472,"n/4","M"
"1430",531,"n/4","M"
"1431",717,"n/4","M"
"1432",413,"n/4","M"
"1433",376,"n/4","M"
"1434",442,"n/4","M"
"1435",408,"n/4","M"
"1436",402,"n/4","M"
"1437",523,"n/4","M"
"1438",564,"n/4","M"
"1439",484,"n/4","M"
"1440",376,"n/4","M"
"1441",354,"n/4","M"
"1442",537,"n/4","M"
"1443",559,"n/4","M"
"1444",482,"n/4","M"
"1445",436,"n/4","M"
"1446",403,"n/4","M"
"1447",479,"n/4","M"
"1448",451,"n/4","M"
"1449",370,"n/4","M"
"1450",265,"n/4","M"
"1451",486,"n/4","M"
"1452",340,"n/4","M"
"1453",370,"n/4","M"
"1454",525,"n/4","M"
"1455",239,"n/4","M"
"1456",508,"n/4","M"
"1457",528,"n/4","M"
"1458",511,"n/4","M"
"1459",335,"n/4","M"
"1460",451,"n/4","M"
"1461",279,"n/4","M"
"1462",341,"n/4","M"
"1463",435,"n/4","M"
"1464",316,"n/4","M"
"1465",272,"n/4","M"
"1466",225,"n/4","M"
"1467",362,"n/4","M"
"1468",324,"n/4","M"
"1469",301,"n/4","M"
"1470",537,"n/4","M"
"1471",473,"n/4","M"
"1472",420,"n/4","M"
"1473",491,"n/4","M"
"1474",310,"n/4","M"
"1475",310,"n/4","M"
"1476",310,"n/4","M"
"1477",203,"n/4","M"
"1478",310,"n/4","M"
"1479",457,"n/4","M"
"1480",344,"n/4","M"
"1481",355,"n/4","M"
"1482",313,"n/4","M"
"1483",310,"n/4","M"
"1484",370,"n/4","M"
"1485",405,"n/4","M"
"1486",310,"n/4","M"
"1487",234,"n/4","M"
"1488",361,"n/4","M"
"1489",310,"n/4","M"
"1490",310,"n/4","M"
"1491",310,"n/4","M"
"1492",377,"n/4","M"
"1493",310,"n/4","M"
"1494",198,"n/4","M"
"1495",310,"n/4","M"
"1496",368,"n/4","M"
"1497",255,"n/4","M"
"1498",202,"n/4","M"
"1499",446,"n/4","M"
"1500",312,"n/4","I"
"1501",90,"n/4","I"
"1502",78,"n/4","I"
"1503",54,"n/4","I"
"1504",46,"n/4","I"
"1505",88,"n/4","I"
"1506",83,"n/4","I"
"1507",80,"n/4","I"
"1508",45,"n/4","I"
"1509",69,"n/4","I"
"1510",77,"n/4","I"
"1511",81,"n/4","I"
"1512",78,"n/4","I"
"1513",61,"n/4","I"
"1514",52,"n/4","I"
"1515",52,"n/4","I"
"1516",103,"n/4","I"
"1517",113,"n/4","I"
"1518",83,"n/4","I"
"1519",90,"n/4","I"
"1520",61,"n/4","I"
"1521",92,"n/4","I"
"1522",100,"n/4","I"
"1523",64,"n/4","I"
"1524",56,"n/4","I"
"1525",58,"n/4","I"
"1526",61,"n/4","I"
"1527",89,"n/4","I"
"1528",65,"n/4","I"
"1529",50,"n/4","I"
"1530",79,"n/4","I"
"1531",70,"n/4","I"
"1532",74,"n/4","I"
"1533",80,"n/4","I"
"1534",60,"n/4","I"
"1535",53,"n/4","I"
"1536",87,"n/4","I"
"1537",82,"n/4","I"
"1538",51,"n/4","I"
"1539",53,"n/4","I"
"1540",71,"n/4","I"
"1541",72,"n/4","I"
"1542",54,"n/4","I"
"1543",75,"n/4","I"
"1544",81,"n/4","I"
"1545",63,"n/4","I"
"1546",70,"n/4","I"
"1547",69,"n/4","I"
"1548",61,"n/4","I"
"1549",79,"n/4","I"
"1550",87,"n/4","I"
"1551",62,"n/4","I"
"1552",86,"n/4","I"
"1553",84,"n/4","I"
"1554",82,"n/4","I"
"1555",73,"n/4","I"
"1556",83,"n/4","I"
"1557",71,"n/4","I"
"1558",111,"n/4","I"
"1559",69,"n/4","I"
"1560",78,"n/4","I"
"1561",66,"n/4","I"
"1562",61,"n/4","I"
"1563",78,"n/4","I"
"1564",94,"n/4","I"
"1565",56,"n/4","I"
"1566",53,"n/4","I"
"1567",51,"n/4","I"
"1568",67,"n/4","I"
"1569",94,"n/4","I"
"1570",73,"n/4","I"
"1571",82,"n/4","I"
"1572",68,"n/4","I"
"1573",82,"n/4","I"
"1574",82,"n/4","I"
"1575",79,"n/4","I"
"1576",72,"n/4","I"
"1577",85,"n/4","I"
"1578",63,"n/4","I"
"1579",57,"n/4","I"
"1580",91,"n/4","I"
"1581",62,"n/4","I"
"1582",89,"n/4","I"
"1583",68,"n/4","I"
"1584",67,"n/4","I"
"1585",78,"n/4","I"
"1586",60,"n/4","I"
"1587",82,"n/4","I"
"1588",65,"n/4","I"
"1589",79,"n/4","I"
"1590",63,"n/4","I"
"1591",49,"n/4","I"
"1592",68,"n/4","I"
"1593",92,"n/4","I"
"1594",67,"n/4","I"
"1595",74,"n/4","I"
"1596",64,"n/4","I"
"1597",66,"n/4","I"
"1598",62,"n/4","I"
"1599",64,"n/4","I"
"1600",76,"n/4","I"
